Node,x,y,,
N0,,,,
N1,,,,
N2,,,,
N3,,,,
N4,,,,
N5,,,,
N6,,,,
N7,,,,
N8,,,,
N9,,,,
N10,,,,
N11,,,,
N12,,,,
N13,,,,
Link,NodeA,NodeB,Length,Cost
N0-N1,N0,N1,360,1
N0-N2,N0,N2,400,1
N0-N3,N0,N3,420,1
N1-N2,N1,N2,480,1
N1-N7,N1,N7,820,1
N2-N5,N2,N5,500,1
N3-N4,N3,N4,540,1
N3-N10,N3,N10,1040,1
N4-N5,N4,N5,560,1
N4-N6,N4,N6,580,1
N5-N9,N5,N9,760,1
N5-N13,N5,N13,960,1
N6-N7,N6,N7,400,1
N7-N8,N7,N8,480,1
N8-N9,N8,N9,600,1
N8-N11,N8,N11,480,1
N8-N12,N8,N12,600,1
N10-N11,N10,N11,580,1
N10-N12,N10,N12,620,1
N11-N13,N11,N13,600,1
N12-N13,N12,N13,520,1
